,Playing Time,Performance,Penalty Kicks,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,23,23,"2,070",23.0,21,0.91,77,56,75.3,13,8,2,8,34.8,2,2,0,0,0.0,,,,
Aston Villa,2,23,23,"2,070",23.0,35,1.52,94,58,63.8,10,7,6,3,13.0,2,1,1,0,50.0,,,,
Bournemouth,3,23,23,"2,070",23.0,26,1.13,114,88,78.1,11,7,5,6,26.1,1,1,0,0,0.0,,,,
Brentford,2,23,23,"2,070",23.0,40,1.74,144,105,72.9,9,4,10,3,13.0,1,1,0,0,0.0,,,,
Brighton,2,23,23,"2,070",23.0,31,1.35,87,57,70.1,8,10,5,5,21.7,5,5,0,0,0.0,,,,
Chelsea,2,23,23,"2,070",23.0,30,1.30,107,76,76.6,11,7,5,4,17.4,6,5,1,0,16.7,,,,
Crystal Palace,1,23,23,"2,070",23.0,30,1.30,92,63,68.5,6,9,8,6,26.1,2,1,1,0,50.0,,,,
Everton,1,22,22,"1,980",22.0,28,1.27,94,64,70.2,5,8,9,8,36.4,2,0,2,0,100.0,,,,
Fulham,1,23,23,"2,070",23.0,31,1.35,92,62,67.4,8,9,6,4,17.4,1,1,0,0,0.0,,,,
Ipswich Town,2,23,23,"2,070",23.0,47,2.04,129,82,67.4,3,7,13,2,8.7,5,5,0,0,0.0,,,,
Leicester City,3,23,23,"2,070",23.0,49,2.13,132,85,63.6,4,5,14,1,4.3,1,1,0,0,0.0,,,,
Liverpool,3,22,22,"1,980",22.0,21,0.95,74,52,71.6,16,5,1,9,40.9,1,0,1,0,100.0,,,,
Manchester City,2,23,23,"2,070",23.0,30,1.30,88,59,69.3,12,5,6,5,21.7,3,3,0,0,0.0,,,,
Manchester Utd,1,23,23,"2,070",23.0,32,1.39,89,57,67.4,8,5,10,7,30.4,4,3,1,0,25.0,,,,
Newcastle Utd,2,23,23,"2,070",23.0,27,1.17,103,77,73.8,12,5,6,8,34.8,0,0,0,0,,,,,
Nott'ham Forest,1,23,23,"2,070",23.0,27,1.17,96,69,72.9,13,5,5,9,39.1,1,1,0,0,0.0,,,,
Southampton,3,23,23,"2,070",23.0,53,2.30,151,98,67.5,1,3,19,2,8.7,4,4,0,0,0.0,,,,
Tottenham,4,23,23,"2,070",23.0,37,1.61,100,65,65.0,7,3,13,4,17.4,2,2,0,0,0.0,,,,
West Ham,2,23,23,"2,070",23.0,44,1.91,125,83,67.2,7,6,10,4,17.4,3,3,0,0,0.0,,,,
Wolves,2,23,23,"2,070",23.0,52,2.26,115,65,59.1,4,4,15,3,13.0,6,5,1,0,16.7,,,,
