,SCA,SCA Types,GCA,GCA Types,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,24,23.0,564,24.52,422,51,28,40,17,6,75,3.26,52,9,2,8,3,1,,,,,
Aston Villa,23,22.0,483,21.95,332,50,28,41,21,11,59,2.68,47,3,2,3,3,1,,,,,
Bournemouth,28,23.0,656,28.52,505,46,26,37,25,17,71,3.09,46,5,4,5,10,1,,,,,
Brentford,26,22.0,439,19.95,329,39,23,21,19,8,71,3.23,52,6,4,3,5,1,,,,,
Brighton,30,23.0,569,24.74,420,40,34,32,36,7,59,2.57,46,2,4,3,3,1,,,,,
Chelsea,27,23.0,655,28.48,497,36,41,41,25,15,80,3.48,56,3,8,6,5,2,,,,,
Crystal Palace,25,22.0,508,23.09,370,45,19,41,27,6,45,2.05,27,6,3,5,4,0,,,,,
Everton,24,22.0,421,19.14,312,37,24,17,22,9,29,1.32,17,1,4,1,3,3,,,,,
Fulham,25,22.0,563,25.59,425,44,25,39,17,13,61,2.77,48,2,3,2,3,3,,,,,
Ipswich Town,31,23.0,369,16.04,253,47,28,15,19,7,31,1.35,23,2,2,2,2,0,,,,,
Leicester City,27,22.0,351,15.95,255,33,25,16,20,2,40,1.82,26,3,5,3,3,0,,,,,
Liverpool,24,22.0,699,31.77,537,40,50,44,15,13,95,4.32,79,2,6,5,3,0,,,,,
Manchester City,26,23.0,719,31.26,574,41,45,35,18,6,78,3.39,57,2,8,8,1,2,,,,,
Manchester Utd,25,22.0,537,24.41,418,42,24,23,20,10,45,2.05,29,3,3,3,3,4,,,,,
Newcastle Utd,24,23.0,586,25.48,450,41,28,28,26,13,72,3.13,60,4,3,1,3,1,,,,,
Nott'ham Forest,23,23.0,509,22.13,356,51,26,41,24,11,56,2.43,37,6,2,3,5,3,,,,,
Southampton,31,23.0,405,17.61,288,34,32,28,17,6,26,1.13,15,2,3,5,0,1,,,,,
Tottenham,28,22.0,556,25.27,419,39,35,37,19,7,74,3.36,56,5,7,4,1,1,,,,,
West Ham,26,22.0,517,23.50,362,44,33,46,20,12,38,1.73,19,4,2,10,3,0,,,,,
Wolves,26,23.0,428,18.61,319,32,32,19,14,12,57,2.48,48,2,4,1,0,2,,,,,
