,Home,Away,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,11,8,2,1,24,9,+15,26,2.36,23.2,9.2,+14.0,+1.27,11,8,3,0,30,12,+18,27,2.45,28.2,10.0,+18.2,+1.65,,,
2,Arsenal,11,7,4,0,22,9,+13,25,2.27,20.5,6.6,+14.0,+1.27,12,6,4,2,22,12,+10,22,1.83,17.1,13.8,+3.3,+0.27,,,
3,Nott'ham Forest,11,6,3,2,15,10,+5,21,1.91,14.1,10.7,+3.4,+0.31,12,7,2,3,18,17,+1,23,1.92,14.4,15.1,-0.7,-0.06,,,
4,Manchester City,11,7,2,2,24,15,+9,23,2.09,23.7,14.2,+9.5,+0.87,12,5,3,4,23,15,+8,18,1.50,19.7,19.0,+0.7,+0.06,,,
5,Newcastle Utd,11,6,2,3,19,12,+7,20,1.82,19.2,13.1,+6.1,+0.56,12,6,3,3,22,15,+7,21,1.75,21.3,14.8,+6.5,+0.55,,,
6,Chelsea,11,5,4,2,20,14,+6,19,1.73,23.4,13.2,+10.2,+0.93,12,6,3,3,25,16,+9,21,1.75,23.6,19.8,+3.8,+0.32,,,
7,Bournemouth,11,6,3,2,17,7,+10,21,1.91,21.1,11.2,+9.9,+0.90,12,5,4,3,24,19,+5,19,1.58,22.9,17.5,+5.4,+0.45,,,
8,Aston Villa,12,6,5,1,20,14,+6,23,1.92,20.6,9.6,+11.0,+0.92,11,4,2,5,14,21,-7,14,1.27,13.1,18.7,-5.6,-0.51,,,
9,Brighton,11,3,6,2,14,14,0,15,1.36,16.2,13.9,+2.3,+0.21,12,5,4,3,21,17,+4,19,1.58,15.2,19.1,-3.9,-0.33,,,
10,Fulham,12,4,5,3,18,18,0,17,1.42,15.7,13.7,+2.0,+0.17,11,4,4,3,16,13,+3,16,1.45,16.6,13.1,+3.5,+0.32,,,
11,Brentford,12,7,2,3,29,23,+6,23,1.92,22.3,19.3,+3.0,+0.25,11,2,2,7,13,17,-4,8,0.73,14.6,19.3,-4.7,-0.43,,,
12,Manchester Utd,12,5,1,6,17,20,-3,16,1.33,19.4,17.5,+1.9,+0.16,11,3,4,4,11,12,-1,13,1.18,13.4,16.3,-3.0,-0.27,,,
13,Crystal Palace,12,2,5,5,11,19,-8,11,0.92,16.6,15.8,+0.7,+0.06,11,4,4,3,15,11,+4,16,1.45,14.6,15.9,-1.3,-0.12,,,
14,West Ham,12,4,2,6,16,26,-10,14,1.17,16.4,23.3,-6.9,-0.58,11,3,4,4,12,18,-6,13,1.18,14.4,16.6,-2.2,-0.20,,,
15,Tottenham,12,4,2,6,27,23,+4,14,1.17,21.5,21.2,+0.3,+0.02,11,3,1,7,19,14,+5,10,0.91,17.3,17.2,+0.2,+0.01,,,
16,Everton,11,3,4,4,12,13,-1,13,1.18,11.7,14.9,-3.2,-0.29,11,2,4,5,7,15,-8,10,0.91,10.2,14.8,-4.6,-0.42,,,
17,Leicester City,12,2,3,7,11,21,-10,9,0.75,12.2,21.0,-8.8,-0.73,11,2,2,7,14,28,-14,8,0.73,10.9,23.2,-12.3,-1.12,,,
18,Wolves,11,2,1,8,14,24,-10,7,0.64,12.2,18.3,-6.1,-0.55,12,2,3,7,18,28,-10,9,0.75,11.9,20.7,-8.8,-0.73,,,
19,Ipswich Town,12,1,4,7,8,24,-16,7,0.58,10.8,21.5,-10.7,-0.89,11,2,3,6,13,23,-10,9,0.82,9.7,25.5,-15.9,-1.44,,,
20,Southampton,11,1,1,9,8,30,-22,4,0.36,12.7,30.8,-18.1,-1.65,12,0,2,10,8,23,-15,2,0.17,10.1,23.2,-13.2,-1.10,,,
